subNo,IP,IP1,IP2,IP3,IP4
1,1.95001022053302,2.0333338322351,1.90070373176168,1.83227507077628,2.03333071625776
2,1.99220255499503,2.00032285442989,1.5903592183214,2.23974597716305,2.10153394931529
3,1.89999998052146,1.89999999877312,1.96666936645402,1.90000000007446,1.80333414530277
8,3.57635892960001,3.49959987277598,3.96535925302438,3.68999263373884,3.31726464957876
9,2.68433209634189,2.70151606257911,2.7672593371066,2.63349283455194,2.63580801586914
10,1.95000365620583,1.90070373176168,2.03338855609369,1.90070373176168,1.99668136787774
11,2.1166507487309,2.0998670961278,2.16670439897678,2.09960269635509,2.10000040855172
12,1.8982325194216,1.88542561611654,1.90000191940045,1.90090420469955,1.90070373176168
13,2.04999989046142,2.09960269635508,2.03336726346684,1.99668136773336,2.1000025133223
14,2.19533942879206,2.0995216599061,2.09894897948515,2.10080580855674,2.45672758803145
15,1.8666695489184,1.90000000007446,1.76554129670517,1.90070373176168,1.90070373176168
16,1.3792668150872,1.42344176784113,1.36597901192383,1.42591047481741,1.29879075908395
17,1.9000061571648,1.90000191940045,1.96666943138777,1.76659233372725,1.96669406860441
18,1.86666859662323,1.90000191940045,1.83333084036575,1.83333084036574,1.90000628769022
19,1.72746896773363,1.69584150860948,1.58915790595371,1.79982455349208,1.8281109976652
20,1.88332729886596,1.83333428176269,1.90000191940045,1.90070373176169,1.90070373176168
21,1.9181197839908,1.96668577109992,1.90070373176168,1.90070373176168,1.90082421589583
22,1.54098108565355,1.60930719996671,1.42890514754679,1.71018316687005,1.43286823342984
23,4,4,4,4,4
24,1.88261826544338,2.03359351985579,1.89984035403485,1.89989424297959,1.69094605532014
25,1.93334947863781,1.83330885962468,1.99669432162576,1.96671205668133,1.96671205668133
26,1.63375978736575,1.80333414532731,1.70000020673592,1.56683937445848,1.43333707692091
27,1.89994290112679,1.80333741414626,1.90070373176168,1.96664081650795,1.90070373176168
28,1.61610641766276,1.83333704701318,1.76666965529248,1.5663661974992,1.28468062325069
29,1.90063951525655,1.90070373176168,1.90050664542278,1.90070373176168,1.90070373176168
30,1.91674760421157,1.83333428176269,1.90070373176168,1.99668136787718,1.99668136792313
31,1.51411364169271,1.89998213955402,1.70000403985096,1.49917233915066,0.94121162903306
32,1.81696462266636,1.83333084036574,1.83333084036575,1.90070373176168,1.69950486664628
