subNo,mean Deviance,Median Deviance
1,5.15461744955496,3.99545027331983
2,9.19076151465872,5.70956054569314
3,5.01622111060292,3.82481038185653
9,7.91603523303882,7.28882667841652
10,6.18041506700828,4.35859672551362
11,7.87264509079997,5.0459934143675
12,7.72174569935132,5.30393413054216
13,6.5005019727927,5.05320358594104
14,5.99380075579955,4.21281342644026
15,6.12903411293861,4.93218646078124
16,5.34842927693146,4.25589422241885
17,7.69898841335276,4.3109272519207
18,7.8871150539162,6.3560431106937
19,6.62620900949208,3.95569565998863
20,6.41048412465365,4.3603271641843
21,7.06675044731315,5.55732562631789
22,5.46312551438948,3.55168225447429
23,7.93812880036944,5.23491928196881
24,6.1940301531897,4.32341052397466
25,6.32470641865535,4.70406415216569
26,7.05506968296174,4.82037057659164
27,9.11545412499006,5.09861885829318
28,5.34319396180891,4.04952325701303
29,5.00090558713781,4.23131544945648
30,5.2365888430967,4.42581283568182
31,7.21595635258262,3.52198041713623
32,5.34315362890736,5.01581485355806
