subNo,IP,1,2,3,4
2,1.320916177,1.556257893,1.634204322,1.019096129,1.079378851
3,1.979706026,2.033388556,1.996686168,1.87728161,2.034148841
6,1.987291686,1.712418698,2.032790155,2.242198952,1.949217873
7,1.816653201,1.900703732,1.833271525,1.803334145,1.70000404
8,1.988912906,1.900703732,1.996681367,1.900703732,1.900703732
9,1.964774494,1.966685771,1.962133032,1.900429962,2.033388556
10,1.950228338,1.966669431,1.996681368,1.996681367,1.9
11,1.615208567,1.565311981,1.766728483,1.631983261,1.487646276
12,1.815812815,1.79666582,1.803334146,1.803334145,1.833271525
13,1.383167339,1.499924012,1.300022215,1.228762912,1.500000008
14,1.950086209,1.996681368,1.966669431,1.900703732,1.966669431
15,1.79999997,1.900794527,1.803334145,1.766728483,1.70000404
16,1.466673277,1.500000008,1.36660437,1.500006007,1.500000008
18,1.199899991,1.433337077,1.233384711,0.966787975,1.165742252
19,1.828711195,1.901296439,1.900703732,1.652862958,1.803334145
20,0.286796121,0.378366216,0.1,0.629526515,0.256848486
21,1.483346649,1.766669655,1.633336761,1.403432095,1.100000962
22,1.877813204,1.766669655,1.900703732,1.968019196,1.900103172
23,1.105171613,1.287598155,1.108151409,0.947984199,1.083519453
24,1.88310222,1.900778867,1.900686349,1.900506645,1.833334282
25,1.899919549,1.900703732,1.900006,1.996678313,1.83333084
26,1.743731849,1.548346666,1.751544982,1.803334145,1.803337693
28,0.610234788,1.196493574,0.420900529,0.588481695,0.287688907
31,1.315607025,1.297540692,1.36629458,1.300022215,1.293538934
32,1.988912906,1.900703732,1.996681367,1.900703732,1.900703732
34,1.683316591,1.83333084,1.766670158,1.433033541,1.699934958
37,0.507504478,1.055654035,0.83334009,0.242802216,0.068764944
38,1.830573901,1.900381487,1.83333615,1.833271525,1.766670158
39,1.942214766,1.966743632,2.003149526,2.016765591,1.753171521
40,1.900001092,1.83330886,1.900703732,1.900703732,1.966673067
41,1.940049238,1.966665499,1.900703732,1.966678625,1.901162889
42,1.516542834,1.900703732,1.803334146,1.433271682,0.900114238
43,1.56713963,1.700000001,1.596625044,1.596625044,1.403432095
44,0.058886992,0.518389456,0.1,0.222041511,0.013218096
45,1.8,1.900703732,1.803334146,1.79666582,1.701314027
47,1.933431188,1.900703732,1.996681367,1.900703732,1.966669366
48,1.164231846,1.63230093,1.366135357,0.803621656,0.83334009
49,1.933331165,1.966743632,1.900001919,1.966712057,1.90085903
50,1.733248484,1.833371092,1.766728483,1.489675721,1.833337047
51,1.966672166,1.996681369,1.96666761,1.900648901,2.033336425
53,1.54852557,1.83333615,1.766614531,1.362156273,1.225510465
54,1.655037237,1.550458298,1.694734268,1.624179719,1.751324377
55,1.883333389,1.900703732,1.899995778,1.900703732,1.83333084
57,1.91666992,1.83330886,1.900003379,1.966728478,1.996681369
58,1.811159375,1.900703732,1.900703732,1.901162889,1.803334145
59,1.916747604,1.900703732,1.900001919,1.900703732,1.996681368
60,1.900703732,1.900703732,1.900703732,1.900703732,1.900703732
62,0.161590041,0.089440411,0.278630827,0.081982345,0.244819803
101,1.95,2.0333,1.9007,1.8323,2.0333
102,1.9922,2.0003,1.5904,2.2397,2.1015
103,1.9,1.9,1.9667,1.9,1.8033
110,1.95,1.9007,2.0334,1.9007,1.9967
112,1.8982,1.8854,1.9,1.9009,1.9007
115,1.8667,1.9,1.7655,1.9007,1.9007
116,1.3793,1.4234,1.366,1.4259,1.2988
117,1.9,1.9,1.9667,1.7666,1.9667
118,1.8667,1.9,1.8333,1.8333,1.9
119,1.7275,1.6958,1.5892,1.7998,1.8281
120,1.8833,1.8333,1.9,1.9007,1.9007
121,1.9181,1.9667,1.9007,1.9007,1.9008
122,1.541,1.6093,1.4289,1.7102,1.4329
124,1.8826,2.0336,1.8998,1.8999,1.6909
125,1.9333,1.8333,1.9967,1.9667,1.9667
126,1.6338,1.8033,1.7,1.5668,1.4333
127,1.8999,1.8033,1.9007,1.9666,1.9007
128,1.6161,1.8333,1.7667,1.5664,1.2847
129,1.9006,1.9007,1.9005,1.9007,1.9007
130,1.9167,1.8333,1.9007,1.9967,1.9967
131,1.5141,1.9,1.7,1.4992,0.94121
132,1.817,1.8333,1.8333,1.9007,1.6995
